appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.07,Android,OPPO,PCAM00,Android 11,OPPO,OPPO Reno,CH5005,�,按钮点击,null,65c92d1c6f4e9f75e68dda7901d68e4b,1647340710209,1647340711000,4070880000000,4070880000000,0,1647340852000,1647340846158,mockUrl/eScore.html#/index,"[{""FCP"":""259.300""},{""TTFB"":""2.200""},{""LCP"":""905.500""},{""FID"":""109.600""},{""CLS"":""0.010""}]"
8.10,iOS,iPhone,iPhone 8,14.2,iPhone,chun的 iPhone (3),CH5005,P02w,按钮点击,P70,5c8192d3ab684602f521dd334a890604,1647315119286,1647315121000,4070880000000,4070880000000,0,1647315185000,1647315179212,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 11,13.7,iPhone,iPhone (8),CH5005,P00590,按钮点击,P60,88f2e0b7940d34cc801662cbe3251a35,1647305253750,1647311136000,4070880000000,4070880000000,0,1647311187000,1647267060242,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone X,15.3.1,iPhone,吴桐的 iPhone (10),CH5005,P02w,按钮点击,P70,81958687cd40fb89ecea90f370a6d294,1647306020083,1647307409000,4070880000000,4070880000000,0,1647307449000,1647307443388,mockUrl/eScore.html#/index,"[{""FCP"":""640.000""},{""TTFB"":""0.000""}]"
7.17,Android,HONOR,YAL-AL10,Android 10,HONOR,HONOR 20 PRO,CH5005,P02w,按钮点击,P70,0a36513361da8126472c2eb9335ed132,1647309697412,1647309697000,4070880000000,4070880000000,0,1647309719000,1647212201556,mockUrl/eScore.html#/index,"[{""FCP"":""174.100""},{""TTFB"":""1.600""},{""CLS"":""0.068""},{""LCP"":""722.400""}]"
7.17,Android,HONOR,YAL-AL10,Android 10,HONOR,HONOR 20 PRO,CH5005,P02w,按钮点击,P70,0a36513361da8126472c2eb9335ed132,1647309697412,1647309697000,4070880000000,4070880000000,0,1647309724000,1647309719289,mockUrl/eScore.html#/index,"[{""FCP"":""212.600""},{""TTFB"":""1.500""},{""CLS"":""0.000""},{""LCP"":""357.900""}]"
7.17,iOS,iPhone,iPhone 12 Pro,15.1.1,iPhone,iPhone (6),CH5005,P00569,按钮点击,P70,fc995847660758a89422d202913caf81,1647308017086,1647308017000,4070880000000,4070880000000,0,1647308395000,1647308355547,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""381.000""}]"
8.08,Android,Xiaomi,M2002J9E,Android 10,Xiaomi,Mi 10 Lite Zoom,CH5005,P02w,按钮点击,P70,4c6d7021b267400a4d9884e0a585f820,1647307997142,1647307998000,4070880000000,4070880000000,0,1647308092000,1647308053946,mockUrl/eScore.html#/index,"[{""FCP"":""960.700""},{""TTFB"":""2.000""},{""LCP"":""2067.700""},{""CLS"":""0.030""}]"
8.08,Android,Xiaomi,M2002J9E,Android 10,Xiaomi,Mi 10 Lite Zoom,CH5005,P02w,按钮点击,P70,ec2171470da1cac02046cc1c0cb16d10,1647314296391,1647314297000,4070880000000,4070880000000,0,1647314325000,1647308092401,mockUrl/eScore.html#/index,"[{""FCP"":""218.900""},{""TTFB"":""1.800""},{""LCP"":""867.100""},{""FID"":""6.700""},{""CLS"":""0.031""}]"
8.08,Android,Xiaomi,M2002J9E,Android 10,Xiaomi,Mi 10 Lite Zoom,CH5005,P02w,按钮点击,P70,ec2171470da1cac02046cc1c0cb16d10,1647314296391,1647314297000,4070880000000,4070880000000,0,1647314329000,1647314324327,mockUrl/eScore.html#/index,"[{""FCP"":""964.300""},{""TTFB"":""32.000""},{""CLS"":""0.001""},{""LCP"":""1248.400""}]"
8.10,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,iPhone,CH5005,P01762,按钮点击,P70,4452327e4f1f539081487f079367a9b9,1647332187425,1647332188000,4070880000000,4070880000000,0,1647332252000,1647332227029,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""141.000""}]"
